d90e5bc9f95dc7eb,  Wed Jun 08:04:54  33.04008357978769 -97.27910973564511 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 124.80639186108152
d90e5bc9f95dc7eb,  Wed Jun 08:04:59  33.04023768485531 -97.27937417363168 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 124.80639186108152
d90e5bc9f95dc7eb,  Wed Jun 08:05:04  33.04036594662041 -97.2796536823706 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 107.29605841324336
d90e5bc9f95dc7eb,  Wed Jun 08:05:09  33.04044621368082 -97.27996117912993 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 107.29605841324336
d90e5bc9f95dc7eb,  Wed Jun 08:05:14  33.040526480741235 -97.28026867616946 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 87.69271993827745
d90e5bc9f95dc7eb,  Wed Jun 08:05:19  33.04051561174806 -97.28059047540397 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 87.69271993827745
d90e5bc9f95dc7eb,  Wed Jun 08:05:24  33.04050474275489 -97.28091227459869 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 87.69271993827745
d90e5bc9f95dc7eb,  Wed Jun 08:05:29  33.040542484414985 -97.28123089400106 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 98.58471869297018
d90e5bc9f95dc7eb,  Wed Jun 08:05:34  33.04044582818669 -97.2815047252376 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 50.86359058084652
d90e5bc9f95dc7eb,  Wed Jun 08:05:39  33.04027735722201 -97.28175629162341 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 54.303872769699986
d90e5bc9f95dc7eb,  Wed Jun 08:05:44  33.040119828518186 -97.28201784327024 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 54.303872769699986
d90e5bc9f95dc7eb,  Wed Jun 08:05:49  33.03996747373155 -97.28228368483262 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 56.08695524099817
d90e5bc9f95dc7eb,  Wed Jun 08:05:54  33.03976249305704 -97.28247738412607 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 26.688955215485773
d90e5bc9f95dc7eb,  Wed Jun 08:05:59  33.039521278697904 -97.28262203505236 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 48.0697953408857
d90e5bc9f95dc7eb,  Wed Jun 08:06:04  33.039070263010885 -97.28322102631037 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 48.0697953408857
d90e5bc9f95dc7eb,  Wed Jun 08:06:09  33.038519985667605 -97.28367798134596 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 31.563843115801607
d90e5bc9f95dc7eb,  Wed Jun 08:06:14  33.037895626461676 -97.28398059569324 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 21.066963586704983
d90e5bc9f95dc7eb,  Wed Jun 08:06:19  33.03725753025929 -97.2842407602499 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 16.18509208944954
d90e5bc9f95dc7eb,  Wed Jun 08:06:24  33.03660933489993 -97.28446517988903 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 16.18509208944954
d90e5bc9f95dc7eb,  Wed Jun 08:06:29  33.03595191130176 -97.28462195969763 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -10.942698030740175
d90e5bc9f95dc7eb,  Wed Jun 08:06:34  33.035288642859825 -97.28447542024394 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -1.9217636902622761
d90e5bc9f95dc7eb,  Wed Jun 08:06:39  33.034614414038 -97.28447264046746 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 3.8267154114900293
d90e5bc9f95dc7eb,  Wed Jun 08:06:44  33.0339941407729 -97.2842140076234 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -30.139277083689
d90e5bc9f95dc7eb,  Wed Jun 08:06:49  33.03341777224956 -97.28379751411555 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -40.86885863487479
d90e5bc9f95dc7eb,  Wed Jun 08:06:54  33.03297014071767 -97.28321261385251 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -63.49891621532585
d90e5bc9f95dc7eb,  Wed Jun 08:06:59  33.032744814397326 -97.28246736909136 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -85.89158956706034
d90e5bc9f95dc7eb,  Wed Jun 08:07:04  33.03276054566059 -97.2816710900326 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -104.1735879006624
d90e5bc9f95dc7eb,  Wed Jun 08:07:09  33.033038450440166 -97.28095249477138 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -125.35402928572881
d90e5bc9f95dc7eb,  Wed Jun 08:07:14  33.03348245882258 -97.28035213502386 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -137.48145784972695
